Channel			  :,CH1
Frequency			  :,F=39.45Hz
Period 			  :,T=25.35ms
PK-PK				  :,Vpp=984.0mV
Average			  :,V=7.680mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,8.00mV
Time interval		  :,20.00uS

index,CH1_Voltage(mV)
1596,168.00
1597,208.00
1598,224.00
1599,272.00
1600,296.00
1601,320.00
1602,344.00
1603,360.00
1604,376.00
1605,376.00
1606,360.00
1607,360.00
1608,352.00
1609,336.00
1610,312.00
1611,272.00
1612,248.00
1613,216.00
1614,176.00
1615,160.00
1616,120.00
1617,104.00
1618,88.00
1619,80.00
1620,80.00
1621,80.00
1622,88.00
1623,96.00
1624,120.00
1625,152.00
1626,168.00
1627,208.00
1628,240.00
1629,272.00
1630,296.00
1631,312.00
1632,336.00
1633,352.00
1634,360.00
1635,360.00
1636,360.00
1637,344.00
1638,336.00
1639,304.00
1640,280.00
1641,256.00
1642,224.00
1643,192.00
1644,160.00
1645,136.00
1646,104.00
1647,80.00
1648,80.00
1649,64.00
1650,72.00
1651,88.00
1652,88.00
1653,104.00
1654,128.00
1655,152.00
1656,184.00
1657,208.00
1658,240.00
1659,272.00
1660,280.00
1661,320.00
1662,336.00
1663,344.00
1664,336.00
1665,344.00
1666,344.00
1667,320.00
1668,296.00
1669,280.00
1670,248.00
1671,224.00
1672,192.00
1673,168.00
1674,136.00
1675,104.00
1676,88.00
1677,88.00
1678,64.00
1679,64.00
1680,72.00
1681,80.00
1682,80.00
1683,112.00
1684,128.00
1685,160.00
1686,176.00
1687,216.00
1688,240.00
1689,264.00
1690,280.00
1691,296.00
1692,320.00
1693,328.00
1694,328.00
1695,320.00
1696,312.00
1697,296.00
1698,280.00
1699,256.00
1700,224.00
1701,200.00
1702,176.00
1703,144.00
1704,120.00
1705,96.00
1706,88.00
1707,72.00
1708,64.00
1709,64.00
1710,64.00
1711,80.00
1712,96.00
1713,104.00
1714,136.00
1715,168.00
1716,184.00
1717,208.00
1718,240.00
1719,272.00
1720,280.00
1721,296.00
1722,312.00
1723,320.00
1724,304.00
1725,296.00
1726,288.00
1727,280.00
1728,256.00
1729,216.00
1730,208.00
1731,176.00
1732,152.00
1733,128.00
1734,104.00
1735,88.00
1736,72.00
1737,64.00
1738,64.00
1739,64.00
1740,64.00
1741,80.00
1742,88.00
1743,104.00
1744,144.00
1745,168.00
1746,184.00
1747,216.00
1748,240.00
1749,248.00
1750,272.00
1751,288.00
1752,296.00
1753,296.00
1754,296.00
1755,288.00
1756,272.00
1757,256.00
1758,240.00
1759,216.00
1760,176.00
1761,168.00
1762,136.00
1763,112.00
1764,88.00
1765,80.00
1766,72.00
1767,56.00
1768,56.00
1769,64.00
1770,64.00
1771,88.00
1772,96.00
1773,112.00
1774,136.00
1775,168.00
1776,192.00
1777,216.00
1778,240.00
1779,248.00
1780,272.00
1781,272.00
1782,280.00
1783,280.00
1784,280.00
1785,272.00
1786,256.00
1787,224.00
1788,216.00
1789,184.00
1790,160.00
1791,144.00
1792,120.00
1793,88.00
1794,80.00
1795,64.00
1796,56.00
1797,56.00
1798,56.00
1799,64.00
1800,96.00
1801,120.00
1802,144.00
1803,160.00
1804,192.00
1805,216.00
1806,224.00
1807,256.00
1808,256.00
1809,272.00
1810,272.00
1811,272.00
1812,264.00
1813,248.00
1814,232.00
1815,216.00
1816,192.00
1817,176.00
1818,152.00
1819,128.00
1820,104.00
1821,88.00
1822,72.00
1823,56.00
1824,48.00
1825,48.00
1826,56.00
1827,64.00
1828,80.00
1829,88.00
1830,104.00
1831,128.00
1832,152.00
1833,176.00
1834,192.00
1835,216.00
1836,224.00
1837,240.00
1838,256.00
1839,264.00
1840,256.00
1841,248.00
1842,248.00
1843,224.00
1844,216.00
1845,192.00
1846,176.00
1847,152.00
1848,128.00
1849,112.00
1850,80.00
1851,80.00
1852,64.00
1853,48.00
1854,40.00
1855,48.00
1856,56.00
1857,64.00
1858,80.00
1859,88.00
1860,112.00
1861,128.00
1862,152.00
1863,160.00
1864,192.00
1865,208.00
1866,224.00
1867,224.00
1868,240.00
1869,240.00
1870,240.00
1871,240.00
1872,224.00
1873,216.00
1874,200.00
1875,176.00
1876,160.00
1877,136.00
1878,104.00
1879,88.00
1880,80.00
1881,72.00
1882,48.00
1883,40.00
1884,48.00
1885,48.00
1886,56.00
1887,64.00
1888,88.00
1889,88.00
1890,96.00
1891,128.00
1892,160.00
1893,176.00
1894,192.00
1895,208.00
1896,224.00
1897,216.00
1898,232.00
1899,216.00
1900,216.00
1901,224.00
1902,216.00
1903,192.00
1904,176.00
1905,168.00
1906,128.00
1907,120.00
1908,104.00
1909,80.00
1910,64.00
1911,56.00
1912,48.00
1913,48.00
1914,48.00
1915,48.00
1916,56.00
1917,64.00
1918,88.00
